id,name,category,subcategory,size,description,price,price_type,image_status,image_source,image_action,suggested_filename,source_url,slug,image,priceNumber,internalPriceType,badge,moments,featured
moka-4p,Moka,Pasteles,Chocolate,4 porciones,"Pan de chocolate bañado con jarabe de vainilla, crema Montparnasse de chocolate y cobertura de chocolate semi-amargo rayado.",$170,Precio observado en Rappi en presentación chica; variable por sucursal,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Rappi",Recortar de catálogo,moka-4p.webp,https://www.rappi.com.mx/restaurantes/1923821574-montparnasse,moka-4p,assets/products/moka-4p.svg,170,Precio observado en Rappi en presentación chica; variable por sucursal,,"['cumpleanos', 'regalo', 'reunion']",False
moka-10p,Moka,Pasteles,Chocolate,10 porciones,"Pastel de chocolate con crema Montparnasse de chocolate y cobertura semi-amarga, ideal para quienes buscan un sabor intenso y clásico.",$449,Precio observado en Rappi; variable por sucursal,Foto encontrada,"Catálogo 2023, página Pasteles 1 / Rappi",Recortar de catálogo,moka-10p.webp,https://www.rappi.com.mx/restaurantes/1923821573-montparnasse,moka-10p,assets/products/moka-10p.svg,449,Precio observado en Rappi; variable por sucursal,,"['cumpleanos', 'regalo', 'reunion']",False
mil-hojas-fresa-10p,Mil Hojas de Fresa,Pasteles,Frutales,10 porciones,"Biscuit laminado de feite/hojaldre relleno de crema pastelera natural y fresas fileteadas, decorado con fresas globo y motivos de chocolate.",$780,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 2 / Uber/Rappi",Recortar de catálogo o usar foto pública con autorización,mil-hojas-fresa-10p.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,mil-hojas-fresa-10p,assets/products/mil-hojas-fresa-10p.svg,780,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
alaska-4p,Alaska,Pasteles,Tres leches,4 porciones,"Biscuit de vainilla bañado con tres leches, relleno de crema Montparnasse, queso delicatessen y chocolate blanco.",$270,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 2 / Uber/Rappi",Recortar de catálogo,alaska-4p.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,alaska-4p,assets/products/alaska-4p.svg,270,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
alaska-10p,Alaska,Pasteles,Tres leches,10 porciones,"Pastel de vainilla con tres leches, crema Montparnasse, queso delicatessen, chocolate blanco y cobertura de crema de nata.",$780,Precio observado en Rappi/Uber,Foto encontrada,"Catálogo 2023, página Pasteles 2 / Uber/Rappi",Recortar de catálogo,alaska-10p.webp,https://www.ubereats.com/mx/store/pasteleria-montparnasse-tacubaya/nGoZYPSAWeymtaZTyPlovg,alaska-10p,assets/products/alaska-10p.svg,780,Precio observado en Rappi/Uber,Favorito,"['cumpleanos', 'regalo', 'reunion']",True
selva-negra-10p,Selva Negra,Pasteles,Frutales / Chocolate,10 porciones,"Biscuit de chocolate bañado con jarabe de ron, relleno con crema de nata y salsa de zarzamora, decorado con frutas de temporada y motivos de chocolate.",$449,Precio observado en Rappi; en algunas sucursales puede variar,Foto encontrada,"Catálogo 2023, página Pasteles 2 / Rappi",Recortar de catálogo,selva-negra-10p.webp,https://www.rappi.com.mx/restaurantes/1923821573-montparnasse,selva-negra-10p,assets/products/selva-negra-10p.svg,449,Precio observado en Rappi; en algunas sucursales puede variar,,"['cumpleanos', 'regalo', 'reunion']",False
tres-leches-tradicional-4p,3 Leches Tradicional,Pasteles,Tres leches,4 porciones,"Pan de vainilla bañado con jarabe de tres leches, relleno con crema Montparnasse y nuez garapiñada, cubierto con crema, escurrido de ganash y nuez.",$170,Precio observado en Rappi; variable por sucursal,Foto encontrada,"Catálogo 2023, página Pasteles 2 / Rappi",Recortar de catálogo,tres-leches-tradicional-4p.webp,https://www.rappi.com.mx/restaurantes/1923821573-montparnasse,tres-leches-tradicional-4p,assets/products/tres-leches-tradicional-4p.svg,170,Precio observado en Rappi; variable por sucursal,,"['cumpleanos', 'regalo', 'reunion']",False
tres-leches-tradicional-10p,3 Leches Tradicional,Pasteles,Tres leches,10 porciones,"Versión familiar del pastel tres leches con crema Montparnasse, nuez garapiñada, ganash de chocolate y nuez.",$449,Precio observado en Rappi; variable por sucursal,Foto encontrada,"Catálogo 2023, página Pasteles 2 / Rappi",Recortar de catálogo,tres-leches-tradicional-10p.webp,https://www.rappi.com.mx/restaurantes/1923821573-montparnasse,tres-leches-tradicional-10p,assets/products/tres-leches-tradicional-10p.svg,449,Precio observado en Rappi; variable por sucursal,,"['cumpleanos', 'regalo', 'reunion']",False
monty-bunny-4p,Monty Bunny,Pasteles,Chocolate,4 porciones,"Biscuit de chocolate bañado con tres leches de chocolate Turín, relleno con crema de chocolate, ganash de chocolate de leche, nuez garapiñada y chocolates Turín.",$215,Precio observado en Uber Navarte,Foto en plataformas; no aparece en catálogo PDF 2023,Uber Eats Navarte,"Usar foto de plataforma solo con autorización; si no, placeholder premium de pastel chocolate",monty-bunny-4p.webp,https://www.ubereats.com/mx-en/store/pasteleria-montparnasse-navarte/NcfKzSdbXA-QBlOYipfh3Q,monty-bunny-4p,assets/products/monty-bunny-4p.svg,215,Precio observado en Uber Navarte,,"['cumpleanos', 'regalo', 'reunion']",False
monty-bunny-10p,Monty Bunny,Pasteles,Chocolate,10 porciones,"Versión familiar de Monty Bunny: chocolate Turín, crema de chocolate, ganash de leche, nuez garapiñada y chocolates Turín.",$590,Precio observado en Uber Navarte,Foto en plataformas; no aparece en catálogo PDF 2023,Uber Eats Navarte,"Usar foto de plataforma solo con autorización; si no, placeholder premium de pastel chocolate",monty-bunny-10p.webp,https://www.ubereats.com/mx-en/store/pasteleria-montparnasse-navarte/NcfKzSdbXA-QBlOYipfh3Q,monty-bunny-10p,assets/products/monty-bunny-10p.svg,590,Precio observado en Uber Navarte,,"['cumpleanos', 'regalo', 'reunion']",False
fiesta-rompope-10p,Fiesta de Rompope,Pasteles,Especiales,10 porciones,"Biscuit de vainilla bañado con tres leches de rompope, crema de nata, duraznos flameados y ganache de chocolate blanco con toque de rompope.",$590,Precio observado en Uber Navarte,Foto en plataformas; no aparece en catálogo PDF 2023,Uber Eats Navarte,"Usar foto de plataforma solo con autorización; si no, placeholder premium",fiesta-rompope-10p.webp,https://www.ubereats.com/mx-en/store/pasteleria-montparnasse-navarte/NcfKzSdbXA-QBlOYipfh3Q,fiesta-rompope-10p,assets/products/fiesta-rompope-10p.svg,590,Precio observado en Uber Navarte,,"['cumpleanos', 'regalo', 'reunion']",False
delicia-fresa-20p,Delicia de Fresa,Pasteles,Eventos / Frutales,20 porciones,"Biscuit de vainilla bañado con jarabe de tres leches, relleno con crema Montparnasse y fresas naturales, con cobertura de ganash y motivos de chocolate.","$1,050",Precio observado en Uber/Rappi,Foto encontrada en redes/plataformas,Facebook/Instagram oficial y Uber/Rappi,"Usar foto oficial solo con permiso; si no, placeholder premium de pastel de fresa",delicia-fresa-20p.webp,https://www.ubereats.com/mx-en/store/montparnasse-pantitlan/7bSqL-byVfq0TnIvvK3Dtg,delicia-fresa-20p,assets/products/delicia-fresa-20p.svg,1050,Precio observado en Uber/Rappi,,"['celebracion', 'cumpleanos', 'evento', 'regalo', 'reunion']",False
fresas-con-crema-free-10p,Fresas con Crema Libre de Azúcar,Línea libre de azúcar,Frutales,10 porciones,"Pan de vainilla con jarabe de tres leches, crema Montparnasse, queso delicatessen y fresas naturales, versión libre de azúcar según menú de plataforma.",$449,Precio observado en Rappi; variable por sucursal,Foto en plataformas; no aparece claro en catálogo PDF,Rappi Barrio Tejedores / Santa Cruz Tlapacoya,"Usar foto de plataforma solo con autorización; si no, placeholder premium con badge libre de azúcar",fresas-con-crema-free-10p.webp,https://www.rappi.com.mx/restaurantes/1923821573-montparnasse,fresas-con-crema-free-10p,assets/products/fresas-con-crema-free-10p.svg,449,Precio observado en Rappi; variable por sucursal,Libre de azúcar,"['libre-azucar', 'regalo']",True
queso-chocolate-free-10p,Queso con Chocolate Sin Azúcar,Línea libre de azúcar,Chocolate,10 porciones,"Pan de chocolate con jarabe de vainilla, crema de chocolate y queso delicatessen, versión libre de azúcar según menú de plataforma.",$449,Precio observado en Rappi; variable por sucursal,Foto en plataformas; no aparece claro en catálogo PDF,Rappi Barrio Tejedores,"Usar foto de plataforma solo con autorización; si no, placeholder premium con badge libre de azúcar",queso-chocolate-free-10p.webp,https://www.rappi.com.mx/restaurantes/1923821573-montparnasse,queso-chocolate-free-10p,assets/products/queso-chocolate-free-10p.svg,449,Precio observado en Rappi; variable por sucursal,Libre de azúcar,"['libre-azucar', 'regalo']",True
galletas-artesanales-free-200g,Galletas Artesanales Free,Línea libre de azúcar,Galletas,200 g,"Surtido de galletas artesanales endulzadas con stevia: pastiseta, granillo de chocolate, polvorón y canelita; hechas con leche y mantequilla baja en grasa.",$99,Precio observado en Uber Navarte; también aparece $89 en otras sucursales,Foto en plataformas; no en catálogo PDF,Uber Eats Navarte / Plaza Texcoco,"Usar foto con autorización; si no, placeholder de galletas",galletas-artesanales-free-200g.webp,https://www.ubereats.com/mx-en/store/pasteleria-montparnasse-navarte/NcfKzSdbXA-QBlOYipfh3Q,galletas-artesanales-free-200g,assets/products/galletas-artesanales-free-200g.svg,99,Precio observado en Uber Navarte; también aparece $89 en otras sucursales,Libre de azúcar,"['celebracion', 'evento', 'libre-azucar', 'regalo']",True
gelatina-mosaico-10p,Gelatina Mosaico,Gelatinas,Tradicionales,10 porciones,"Gelatina con base de anís y cubos de leche orgánica de sabores limón, uva, naranja y piña.",$420,Precio observado en Rappi/Uber; puede variar por sucursal,Foto encontrada,"Catálogo 2023, página Gelatinas / Rappi/Uber",Recortar de catálogo,gelatina-mosaico-10p.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,gelatina-mosaico-10p,assets/products/gelatina-mosaico-10p.svg,420,Precio observado en Rappi/Uber; puede variar por sucursal,Favorito,"['cumpleanos', 'reunion']",True
gelatina-frutas-10p,Gelatina de Frutas,Gelatinas,Frutales,10 porciones,Base de leche sabor vainilla con gelatina de agua sabor fresa y frutas de temporada.,$270,Precio observado en Uber Plaza Texcoco,Foto en plataformas; no en catálogo PDF 2023,Uber Eats Plaza Texcoco,"Usar foto con autorización; si no, placeholder premium",gelatina-frutas-10p.webp,https://www.ubereats.com/mx-en/store/montparnasse-plaza-texcoco/lWAbciJMR1KZWTAfEwzceQ,gelatina-frutas-10p,assets/products/gelatina-frutas-10p.svg,270,Precio observado en Uber Plaza Texcoco,,"['cumpleanos', 'reunion']",False
gelatina-halloween,Gelatina Halloween,Gelatinas,Temporada,Temporada,"Gelatina temática de temporada, ideal para campañas especiales y fechas festivas.",$340,Precio observado en búsquedas previas / precio de demo si no se confirma,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Usar placeholder o foto oficial de temporada,gelatina-halloween.webp,Pendiente de fuente final,gelatina-halloween,assets/products/gelatina-halloween.svg,340,Precio observado en búsquedas previas / precio de demo si no se confirma,,"['cumpleanos', 'reunion']",False
galletas-surtidas-200g,Galletas Surtidas,Galletas y pastas secas,Galletas,200 g,"Surtido de galleta artesanal: pastiseta, granillo de chocolate, polvorón y canelita, hechas con leche y mantequilla.",$120,Precio observado en Rappi Agrícola Oriental; variable por sucursal,Foto encontrada,"Catálogo 2023, página Galletas / Rappi",Recortar de catálogo,galletas-surtidas-200g.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,galletas-surtidas-200g,assets/products/galletas-surtidas-200g.svg,120,Precio observado en Rappi Agrícola Oriental; variable por sucursal,,"['antojo', 'celebracion', 'evento', 'regalo']",False
galletas-artesanales-500g,Galletas Artesanales,Galletas y pastas secas,Galletas,500 g,"Surtido de galletas artesanales para compartir o regalar: pastiseta, granillo de chocolate, polvorón y canelita.",$150,Precio observado en Uber Plaza Texcoco; variable por sucursal,Foto encontrada,"Catálogo 2023, página Galletas / Uber",Recortar de catálogo o usar foto de plataforma con autorización,galletas-artesanales-500g.webp,https://www.ubereats.com/mx-en/store/montparnasse-plaza-texcoco/lWAbciJMR1KZWTAfEwzceQ,galletas-artesanales-500g,assets/products/galletas-artesanales-500g.svg,150,Precio observado en Uber Plaza Texcoco; variable por sucursal,Favorito,"['antojo', 'regalo']",True
teja-almendra-200g,Teja de Almendra,Galletas y pastas secas,Tejas,200 g,"Galletas crocantes de mantequilla con almendra, ideales para acompañar café, regalar o sumar a mesa dulce.",$250,Precio observado en Rappi Agrícola Oriental; también aparece $195 en Uber Navarte,Foto encontrada,"Catálogo 2023, página Galletas / Rappi/Uber",Recortar de catálogo,teja-almendra-200g.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,teja-almendra-200g,assets/products/teja-almendra-200g.svg,250,Precio observado en Rappi Agrícola Oriental; también aparece $195 en Uber Navarte,Favorito,"['antojo', 'celebracion', 'evento', 'regalo']",True
chocolates-mixtos-200g,Chocolates Mixtos,Chocolates,Trufas,200 g,"Combinación de trufas rellenas de crema irlandesa, coñac, tequila, whisky y enjambre de nuez.",$115,Precio observado en plataformas / demo si no se confirma por sucursal,Foto encontrada en catálogo PDF,"Catálogo 2023, página Chocolates",Recortar de catálogo,chocolates-mixtos-200g.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,chocolates-mixtos-200g,assets/products/chocolates-mixtos-200g.svg,115,Precio observado en plataformas / demo si no se confirma por sucursal,,"['antojo', 'celebracion', 'evento', 'regalo']",False
chocopapis-200g,Chocopapis,Chocolates,Trufas / Chocolate,200 g,"Combinación de trufas rellenas y enjambre de nuez, producto observado en menú de plataforma.",$135,Precio observado en Uber Plaza Texcoco,Foto en plataforma; no en catálogo PDF 2023,Uber Eats Plaza Texcoco,"Usar foto con autorización; si no, placeholder premium de chocolates",chocopapis-200g.webp,https://www.ubereats.com/mx-en/store/montparnasse-plaza-texcoco/lWAbciJMR1KZWTAfEwzceQ,chocopapis-200g,assets/products/chocopapis-200g.svg,135,Precio observado en Uber Plaza Texcoco,,"['antojo', 'celebracion', 'evento', 'regalo']",False
coliseo-chocolate-10p,Coliseo de Chocolate,Panqués,Chocolate,8 a 10 porciones,Panqué de chocolate cubierto con glaseado blanco y abundantes chispas.,$140,Precio observado en delivery / redes; variable por fecha,Foto encontrada,"Catálogo 2023, página Panqués",Recortar de catálogo,coliseo-chocolate-10p.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,coliseo-chocolate-10p,assets/products/coliseo-chocolate-10p.svg,140,Precio observado en delivery / redes; variable por fecha,,"['antojo', 'regalo']",False
coliseo-naranja-10p,Coliseo de Naranja,Panqués,Naranja,8 a 10 porciones,"Panqué tradicional con toque de naranja, glaseado rojo y chocolate M&M.",$140,Precio observado en delivery / redes; variable por fecha,Foto encontrada,"Catálogo 2023, página Panqués",Recortar de catálogo,coliseo-naranja-10p.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,coliseo-naranja-10p,assets/products/coliseo-naranja-10p.svg,140,Precio observado en delivery / redes; variable por fecha,,"['antojo', 'regalo']",False
bengala,Bengala Montparnasse,Extras,Celebración,Pieza,Bengala para acompañar pasteles de celebración.,$100,Precio observado en Rappi,Foto en plataforma,Rappi Agrícola Oriental,"Usar foto con autorización; si no, placeholder de extra",bengala.webp,https://www.rappi.com.mx/restaurantes/1923286321-montparnasse,bengala,assets/products/bengala.svg,100,Precio observado en Rappi,,"['cumpleanos', 'evento']",False
tartaleta-fresa,Tartaleta de Crema Pastelera con Fresa,Tartaletas,Frutales,Individual,"Tartaleta con base de galleta, crema pastelera y fresas.",$69,Precio observado en plataformas / demo si no se confirma,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial,tartaleta-fresa.webp,Pendiente de fuente final,tartaleta-fresa,assets/products/tartaleta-fresa.svg,69,Precio observado en plataformas / demo si no se confirma,,"['antojo', 'regalo']",False
tartaleta-almendras-frutas,Tartaleta de Almendras con Frutas,Tartaletas,Frutales,Individual,Tartaleta con crema de almendras y frutos de temporada.,$69,Precio observado en plataformas / demo si no se confirma,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial,tartaleta-almendras-frutas.webp,Pendiente de fuente final,tartaleta-almendras-frutas,assets/products/tartaleta-almendras-frutas.svg,69,Precio observado en plataformas / demo si no se confirma,,"['antojo', 'regalo']",False
tartaleta-nuez,Tartaleta de Nuez,Tartaletas,Nuez,Individual,"Base de pasta sablé con miel de maple, nueces, brillo y motivos de chocolate.",$69,Precio observado en plataformas / demo si no se confirma,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial,tartaleta-nuez.webp,Pendiente de fuente final,tartaleta-nuez,assets/products/tartaleta-nuez.svg,69,Precio observado en plataformas / demo si no se confirma,,"['antojo', 'regalo']",False
pan-muerto-tradicional-4p,Pan de Muerto Tradicional,Temporada,Pan de muerto,4 porciones,Pan de temporada con crema tradicional Montparnasse y nueces frescas.,$135,Precio observado en plataformas / temporada,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial de temporada,pan-muerto-tradicional-4p.webp,Pendiente de fuente final,pan-muerto-tradicional-4p,assets/products/pan-muerto-tradicional-4p.svg,135,Precio observado en plataformas / temporada,Temporada,['antojo'],False
pan-muerto-tradicional-10p,Pan de Muerto Tradicional,Temporada,Pan de muerto,10 porciones,"Versión familiar del pan de muerto tradicional, producto de temporada.",$330,Precio observado en plataformas / temporada,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial de temporada,pan-muerto-tradicional-10p.webp,Pendiente de fuente final,pan-muerto-tradicional-10p,assets/products/pan-muerto-tradicional-10p.svg,330,Precio observado en plataformas / temporada,Temporada,['antojo'],False
pan-muerto-baileys-4p,Pan de Muerto Bailey's,Temporada,Pan de muerto,4 porciones,"Pan de mantequilla con tres leches de Bailey’s, crema con nata y chocolate Turín sabor Bailey’s.",$135,Precio observado en plataformas / temporada,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial de temporada,pan-muerto-baileys-4p.webp,Pendiente de fuente final,pan-muerto-baileys-4p,assets/products/pan-muerto-baileys-4p.svg,135,Precio observado en plataformas / temporada,Temporada,['antojo'],False
pan-muerto-baileys-10p,Pan de Muerto Bailey's,Temporada,Pan de muerto,10 porciones,"Versión familiar del pan de muerto Bailey’s, producto de temporada.",$330,Precio observado en plataformas / temporada,Sin foto confirmada en catálogo PDF,Placeholder premium recomendado,Crear placeholder premium o pedir foto oficial de temporada,pan-muerto-baileys-10p.webp,Pendiente de fuente final,pan-muerto-baileys-10p,assets/products/pan-muerto-baileys-10p.svg,330,Precio observado en plataformas / temporada,Temporada,['antojo'],False
helado-chocolate-intenso,Helado Chocolate Intenso,Helados,Chocolate,Sencillo / doble / medio litro / litro,"Helado de chocolate intenso, disponible en presentaciones individual y para llevar según catálogo.",$55,Precio demo para boceto; catálogo no muestra precio,Foto encontrada,"Catálogo 2023, página Helados",Recortar de catálogo,helado-chocolate-intenso.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,helado-chocolate-intenso,assets/products/helado-chocolate-intenso.svg,55,Precio demo para boceto; catálogo no muestra precio,,"['antojo', 'regalo']",False
helado-selva-negra,Helado Selva Negra,Helados,Especiales,Sencillo / doble / medio litro / litro,"Helado inspirado en el sabor Selva Negra, disponible en presentaciones individual y para llevar según catálogo.",$55,Precio demo para boceto; catálogo no muestra precio,Foto encontrada,"Catálogo 2023, página Helados",Recortar de catálogo,helado-selva-negra.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,helado-selva-negra,assets/products/helado-selva-negra.svg,55,Precio demo para boceto; catálogo no muestra precio,,"['antojo', 'regalo']",False
helado-baileys,Helado Bailey's,Helados,Especiales,Sencillo / doble / medio litro / litro,"Helado con perfil Bailey’s, disponible en presentaciones individual y para llevar según catálogo.",$55,Precio demo para boceto; catálogo no muestra precio,Foto encontrada,"Catálogo 2023, página Helados",Recortar de catálogo,helado-baileys.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,helado-baileys,assets/products/helado-baileys.svg,55,Precio demo para boceto; catálogo no muestra precio,,"['antojo', 'regalo']",False
helado-fresa-albahaca,Helado Fresa con Albahaca,Helados,Frutales,Sencillo / doble / medio litro / litro,"Helado frutal de fresa con toque fresco de albahaca, disponible en varias presentaciones según catálogo.",$55,Precio demo para boceto; catálogo no muestra precio,Foto encontrada,"Catálogo 2023, página Helados",Recortar de catálogo,helado-fresa-albahaca.webp,https://s3.amazonaws.com/orion-eat-app-files/orioneat-prod%2FX78QHRSvee528QgbK-catalogo-2023-w.pdf,helado-fresa-albahaca,assets/products/helado-fresa-albahaca.svg,55,Precio demo para boceto; catálogo no muestra precio,,"['antojo', 'regalo']",False
